text,Word,Sentence #,indexloc
"株式会社 リアル ワールド （ 代表 取締役 社長 ： 菊池 誠 晃 、 本社 ： 東京 都 港 区 、 東証 マザーズ ： 証券 コード 3691 ） の グループ 会社 で ある 株式会社 カチコ （ 代表 取締役 社長 ： 深澤 智史 、 本社 ： 東京 都 港 区 、 以下 カチコ ） は 、 動画 の 受託 制作 や 動画 ツール サービス の 提供 を 行っ て いる 株式会社 vivito （ 代表 取締役 社長 ： 辻 慶太郎 、 本社 ： 東京 都 渋谷 区 、 以下 vivito ） と 2019 年 2 月 22 日 付け で 資本 業務 提携 致し まし た 。 次世代 通信 「 5 G 」 の 準備 が 着々 と 進め られる 中 、 今後 の 動画 市場 は 更 なる 成長 が 見込ま れ て おり 、 2024 年 に は 4 , 957 億 円 ※ 1 に なる と 予想 さ れ て い ます 。 「 YouTube 」 や 「 TikTok 」 など 、 動画 サービス の 普及 により スマート フォン による 動画 視聴 が 世の中 に 定着 さ ",株式会社,1,0
,リアル,1,1
,ワールド,1,2
,（,1,3
,代表,1,4
,取締役,1,5
,社長,1,6
,：,1,7
,菊池,1,8
,誠,1,9
,晃,1,10
,、,1,11
,本社,1,12
,：,1,13
,東京,1,14
,都,1,15
,港,1,16
,区,1,17
,、,1,18
,東証,1,19
,マザーズ,1,20
,：,1,21
,証券,1,22
,コード,1,23
,3691,1,24
,）,1,25
,の,1,26
,グループ,1,27
,会社,1,28
,で,1,29
,ある,1,30
,株式会社,1,31
,カチコ,1,32
,（,1,33
,代表,1,34
,取締役,1,35
,社長,1,36
,：,1,37
,深澤,1,38
,智史,1,39
,、,1,40
,本社,1,41
,：,1,42
,東京,1,43
,都,1,44
,港,1,45
,区,1,46
,、,1,47
,以下,1,48
,カチコ,1,49
,）,1,50
,は,1,51
,、,1,52
,動画,1,53
,の,1,54
,受託,1,55
,制作,1,56
,や,1,57
,動画,1,58
,ツール,1,59
,サービス,1,60
,の,1,61
,提供,1,62
,を,1,63
,行っ,1,64
,て,1,65
,いる,1,66
,株式会社,1,67
,vivito,1,68
,（,1,69
,代表,1,70
,取締役,1,71
,社長,1,72
,：,1,73
,辻,1,74
,慶太郎,1,75
,、,1,76
,本社,1,77
,：,1,78
,東京,1,79
,都,1,80
,渋谷,1,81
,区,1,82
,、,1,83
,以下,1,84
,vivito,1,85
,）,1,86
,と,1,87
,2019,1,88
,年,1,89
,2,1,90
,月,1,91
,22,1,92
,日,1,93
,付け,1,94
,で,1,95
,資本,1,96
,業務,1,97
,提携,1,98
,致し,1,99
,まし,1,100
,た,1,101
,。,1,102
,次世代,1,103
,通信,1,104
,「,1,105
,5,1,106
,G,1,107
,」,1,108
,の,1,109
,準備,1,110
,が,1,111
,着々,1,112
,と,1,113
,進め,1,114
,られる,1,115
,中,1,116
,、,1,117
,今後,1,118
,の,1,119
,動画,1,120
,市場,1,121
,は,1,122
,更,1,123
,なる,1,124
,成長,1,125
,が,1,126
,見込ま,1,127
,れ,1,128
,て,1,129
,おり,1,130
,、,1,131
,2024,1,132
,年,1,133
,に,1,134
,は,1,135
,4,1,136
,",",1,137
,957,1,138
,億,1,139
,円,1,140
,※,1,141
,1,1,142
,に,1,143
,なる,1,144
,と,1,145
,予想,1,146
,さ,1,147
,れ,1,148
,て,1,149
,い,1,150
,ます,1,151
,。,1,152
,「,1,153
,YouTube,1,154
,」,1,155
,や,1,156
,「,1,157
,TikTok,1,158
,」,1,159
,など,1,160
,、,1,161
,動画,1,162
,サービス,1,163
,の,1,164
,普及,1,165
,により,1,166
,スマート,1,167
,フォン,1,168
,による,1,169
,動画,1,170
,視聴,1,171
,が,1,172
,世の中,1,173
,に,1,174
,定着,1,175
,さ,1,176
