text,Word,Sentence #,indexloc
"1 , 500 名 の クリエイター・カメラマン を 持つ vivito 社 と 資本 業務 提携 「 カチコ 」 動画 供給 事業 の 成長 加速 ・ リアル ペイ 経済 圏 拡大 へ",1,1,0
,",",1,1
,500,1,2
,名,1,3
,の,1,4
,クリエイター・カメラマン,1,5
,を,1,6
,持つ,1,7
,vivito,1,8
,社,1,9
,と,1,10
,資本,1,11
,業務,1,12
,提携,1,13
,「,1,14
,カチコ,1,15
,」,1,16
,動画,1,17
,供給,1,18
,事業,1,19
,の,1,20
,成長,1,21
,加速,1,22
,・,1,23
,リアル,1,24
,ペイ,1,25
,経済,1,26
,圏,1,27
,拡大,1,28
,へ,1,29
イタンジ 、 ダンゴ ネット と 業務 提携,イタンジ,2,0
,、,2,1
,ダンゴ,2,2
,ネット,2,3
,と,2,4
,業務,2,5
,提携,2,6
NEWS 2019 . 02 . 26 ビッグ データ 収集 ・ 分析 の 株式会社 キーウォーカー と 資本 業務 提携,NEWS,3,0
,2019,3,1
,.,3,2
,02,3,3
,.,3,4
,26,3,5
,ビッグ,3,6
,データ,3,7
,収集,3,8
,・,3,9
,分析,3,10
,の,3,11
,株式会社,3,12
,キーウォーカー,3,13
,と,3,14
,資本,3,15
,業務,3,16
,提携,3,17
株式会社 リサーチアンドソリューション ESRI ジャパン 株式会社 と 業務 提携 GIS 利 活用 を 目的 と し た ビジネス パートナー 契約 を 締結 し まし た,株式会社,4,0
,リサーチアンドソリューション,4,1
,ESRI,4,2
,ジャパン,4,3
,株式会社,4,4
,と,4,5
,業務,4,6
,提携,4,7
,GIS,4,8
,利,4,9
,活用,4,10
,を,4,11
,目的,4,12
,と,4,13
,し,4,14
,た,4,15
,ビジネス,4,16
,パートナー,4,17
,契約,4,18
,を,4,19
,締結,4,20
,し,4,21
,まし,4,22
,た,4,23
第三者 割当 による 新 株式 及び 新株 予約 権 の 発行 、 業務 ・ 資本 提携 契約 の 締結 並びに 主要 株主 、 主要 株主 で ある 筆頭 株主 及び その他 の 関係 会社 の 異動 に関する お知らせ （ 994 KB ）,第三者,5,0
,割当,5,1
,による,5,2
,新,5,3
,株式,5,4
,及び,5,5
,新株,5,6
,予約,5,7
,権,5,8
,の,5,9
,発行,5,10
,、,5,11
,業務,5,12
,・,5,13
,資本,5,14
,提携,5,15
,契約,5,16
,の,5,17
,締結,5,18
,並びに,5,19
,主要,5,20
,株主,5,21
,、,5,22
,主要,5,23
,株主,5,24
,で,5,25
,ある,5,26
,筆頭,5,27
,株主,5,28
,及び,5,29
,その他,5,30
,の,5,31
,関係,5,32
,会社,5,33
,の,5,34
,異動,5,35
,に関する,5,36
,お知らせ,5,37
,（,5,38
,994,5,39
,KB,5,40
,）,5,41
業務 提携 に関する 基本 合意 の お知らせ （ 111 KB ）,業務,6,0
,提携,6,1
,に関する,6,2
,基本,6,3
,合意,6,4
,の,6,5
,お知らせ,6,6
,（,6,7
,111,6,8
,KB,6,9
,）,6,10
国内 全域 の 自動 運転 サービス 実証 向け インシュアテックソリューション 「 Level IV Discovery 」 の 共同 開発 に 向け た 業務 提携 の お知らせ,国内,7,0
,全域,7,1
,の,7,2
,自動,7,3
,運転,7,4
,サービス,7,5
,実証,7,6
,向け,7,7
,インシュアテックソリューション,7,8
,「,7,9
,Level,7,10
,IV,7,11
,Discovery,7,12
,」,7,13
,の,7,14
,共同,7,15
,開発,7,16
,に,7,17
,向け,7,18
,た,7,19
,業務,7,20
,提携,7,21
,の,7,22
,お知らせ,7,23
中国 ハイアールグループ と ヘルスケア 領域 における 業務 提携 に 向け た 本格 協議 実施 の 合意 書 を 締結 [ PDF : 138 KB ],中国,8,0
,ハイアールグループ,8,1
,と,8,2
,ヘルスケア,8,3
,領域,8,4
,における,8,5
,業務,8,6
,提携,8,7
,に,8,8
,向け,8,9
,た,8,10
,本格,8,11
,協議,8,12
,実施,8,13
,の,8,14
,合意,8,15
,書,8,16
,を,8,17
,締結,8,18
,[,8,19
,PDF,8,20
,:,8,21
,138,8,22
,KB,8,23
,],8,24
[ プレス リリース ] 株式会社 カワニシ と の 販売 業務 提携 の お知らせ,[,9,0
,プレス,9,1
,リリース,9,2
,],9,3
,株式会社,9,4
,カワニシ,9,5
,と,9,6
,の,9,7
,販売,9,8
,業務,9,9
,提携,9,10
,の,9,11
,お知らせ,9,12
意見 表明 報告 書 の 訂正 報告 書 の 提出 及び 「 株式会社 エヌ・ティ・ティ ・ データ による 当社 株券 に対する 公開 買付け に関する 意見 表明 及び 同社 と の 資本 業務 提携 契約 締結 に関する お知らせ 」 の 訂正 について （ 102 KB ）,意見,10,0
,表明,10,1
,報告,10,2
,書,10,3
,の,10,4
,訂正,10,5
,報告,10,6
,書,10,7
,の,10,8
,提出,10,9
,及び,10,10
,「,10,11
,株式会社,10,12
,エヌ・ティ・ティ,10,13
,・,10,14
,データ,10,15
,による,10,16
,当社,10,17
,株券,10,18
,に対する,10,19
,公開,10,20
,買付け,10,21
,に関する,10,22
,意見,10,23
,表明,10,24
,及び,10,25
,同社,10,26
,と,10,27
,の,10,28
,資本,10,29
,業務,10,30
,提携,10,31
,契約,10,32
,締結,10,33
,に関する,10,34
,お知らせ,10,35
,」,10,36
,の,10,37
,訂正,10,38
,について,10,39
,（,10,40
,102,10,41
,KB,10,42
,）,10,43
株式会社 あど ばる と の 資本 業務 提携 に関する お知らせ,株式会社,11,0
,あど,11,1
,ばる,11,2
,と,11,3
,の,11,4
,資本,11,5
,業務,11,6
,提携,11,7
,に関する,11,8
,お知らせ,11,9
Japan Centre Group 、 阪神 酒販 グループ 及び 当社 グループ ３ 社 間 で の 欧州 地域 における 戦略 的 業務 提携 に関する お知らせ,Japan,12,0
,Centre,12,1
,Group,12,2
,、,12,3
,阪神,12,4
,酒販,12,5
,グループ,12,6
,及び,12,7
,当社,12,8
,グループ,12,9
,３,12,10
,社,12,11
,間,12,12
,で,12,13
,の,12,14
,欧州,12,15
,地域,12,16
,における,12,17
,戦略,12,18
,的,12,19
,業務,12,20
,提携,12,21
,に関する,12,22
,お知らせ,12,23
( 訂正 ） 「 連結 子会社 の 異動 ( 株式 譲渡 ) に関する 基本 合意 書 締結 に関する お知らせ 」 の 一部 訂正 について ( PDF 約 103 KB ),(,13,0
,訂正,13,1
,）,13,2
,「,13,3
,連結,13,4
,子会社,13,5
,の,13,6
,異動,13,7
,(,13,8
,株式,13,9
,譲渡,13,10
,),13,11
,に関する,13,12
,基本,13,13
,合意,13,14
,書,13,15
,締結,13,16
,に関する,13,17
,お知らせ,13,18
,」,13,19
,の,13,20
,一部,13,21
,訂正,13,22
,について,13,23
,(,13,24
,PDF,13,25
,約,13,26
,103,13,27
,KB,13,28
,),13,29
株式会社 フィット と の 資本 ・ 業務 提携 契約 の 締結 に関する お知らせ （ PDF : 100 KB ）,株式会社,14,0
,フィット,14,1
,と,14,2
,の,14,3
,資本,14,4
,・,14,5
,業務,14,6
,提携,14,7
,契約,14,8
,の,14,9
,締結,14,10
,に関する,14,11
,お知らせ,14,12
,（,14,13
,PDF,14,14
,:,14,15
,100,14,16
,KB,14,17
,）,14,18
SBI 証券 及び SBI マネー プラザ と 業務 提携,SBI,15,0
,証券,15,1
,及び,15,2
,SBI,15,3
,マネー,15,4
,プラザ,15,5
,と,15,6
,業務,15,7
,提携,15,8
オーク ファン 、 クロスシー と 資本 業務 提携 ～「 タテンポガイド ネクスト 」 及び 「 NETSEA 」 に 連携 し た 中国 向け 共同 ソリューション を 開発 ～,オーク,16,0
,ファン,16,1
,、,16,2
